tipo,mh,clasificador,metric,best,avg,std
0,GWO,KNN,presicion,0.989,0.903,0.105
0,GWO,KNN,recall,0.913,0.849,0.107
0,GWO,KNN,f1-score,0.94,0.874,0.104
0,GWO,LightGBM,presicion,0.99,0.972,0.014
0,GWO,LightGBM,recall,0.961,0.937,0.015
0,GWO,LightGBM,f1-score,0.975,0.954,0.009
0,GWO,RandomForest,presicion,0.99,0.955,0.024
0,GWO,RandomForest,recall,0.99,0.932,0.024
0,GWO,RandomForest,f1-score,0.986,0.943,0.015
0,PSO,KNN,presicion,0.843,0.627,0.067
0,PSO,KNN,recall,0.68,0.493,0.067
0,PSO,KNN,f1-score,0.753,0.551,0.064
0,PSO,LightGBM,presicion,1.0,0.982,0.013
0,PSO,LightGBM,recall,0.951,0.935,0.013
0,PSO,LightGBM,f1-score,0.975,0.957,0.01
0,PSO,RandomForest,presicion,0.989,0.955,0.028
0,PSO,RandomForest,recall,0.932,0.83,0.09
0,PSO,RandomForest,f1-score,0.946,0.886,0.064
0,WOA,KNN,presicion,0.849,0.578,0.161
0,WOA,KNN,recall,0.709,0.472,0.143
0,WOA,KNN,f1-score,0.772,0.508,0.133
0,WOA,LightGBM,presicion,1.0,0.986,0.015
0,WOA,LightGBM,recall,0.971,0.943,0.015
0,WOA,LightGBM,f1-score,0.975,0.964,0.011
0,WOA,RandomForest,presicion,0.985,0.896,0.05
0,WOA,RandomForest,recall,0.913,0.699,0.111
0,WOA,RandomForest,f1-score,0.922,0.779,0.061
1,GWO,KNN,presicion,0.995,0.991,0.006
1,GWO,KNN,recall,0.999,0.994,0.006
1,GWO,KNN,f1-score,0.996,0.993,0.006
1,GWO,LightGBM,presicion,0.998,0.996,0.001
1,GWO,LightGBM,recall,0.999,0.998,0.001
1,GWO,LightGBM,f1-score,0.999,0.997,0.001
1,GWO,RandomForest,presicion,0.999,0.996,0.001
1,GWO,RandomForest,recall,0.999,0.997,0.002
1,GWO,RandomForest,f1-score,0.999,0.997,0.001
1,PSO,KNN,presicion,0.981,0.969,0.004
1,PSO,KNN,recall,0.992,0.982,0.004
1,PSO,KNN,f1-score,0.986,0.976,0.003
1,PSO,LightGBM,presicion,0.997,0.996,0.001
1,PSO,LightGBM,recall,1.0,0.999,0.001
1,PSO,LightGBM,f1-score,0.999,0.997,0.001
1,PSO,RandomForest,presicion,0.996,0.99,0.005
1,PSO,RandomForest,recall,0.999,0.998,0.001
1,PSO,RandomForest,f1-score,0.997,0.994,0.003
1,WOA,KNN,presicion,0.982,0.968,0.008
1,WOA,KNN,recall,1.0,0.978,0.018
1,WOA,KNN,f1-score,0.987,0.973,0.008
1,WOA,LightGBM,presicion,0.998,0.997,0.001
1,WOA,LightGBM,recall,1.0,0.999,0.001
1,WOA,LightGBM,f1-score,0.999,0.998,0.001
1,WOA,RandomForest,presicion,0.995,0.982,0.007
1,WOA,RandomForest,recall,0.999,0.995,0.004
1,WOA,RandomForest,f1-score,0.995,0.988,0.003
macro,GWO,KNN,presicion,0.991,0.947,0.055
macro,GWO,KNN,recall,0.955,0.922,0.056
macro,GWO,KNN,f1-score,0.968,0.933,0.055
macro,GWO,LightGBM,presicion,0.994,0.984,0.007
macro,GWO,LightGBM,recall,0.98,0.968,0.008
macro,GWO,LightGBM,f1-score,0.987,0.976,0.005
macro,GWO,RandomForest,presicion,0.992,0.976,0.012
macro,GWO,RandomForest,recall,0.995,0.965,0.012
macro,GWO,RandomForest,f1-score,0.992,0.97,0.008
macro,PSO,KNN,presicion,0.912,0.798,0.035
macro,PSO,KNN,recall,0.836,0.738,0.034
macro,PSO,KNN,f1-score,0.87,0.763,0.034
macro,PSO,LightGBM,presicion,0.999,0.989,0.007
macro,PSO,LightGBM,recall,0.976,0.967,0.007
macro,PSO,LightGBM,f1-score,0.987,0.977,0.005
macro,PSO,RandomForest,presicion,0.991,0.972,0.016
macro,PSO,RandomForest,recall,0.965,0.914,0.045
macro,PSO,RandomForest,f1-score,0.971,0.94,0.034
macro,WOA,KNN,presicion,0.916,0.773,0.082
macro,WOA,KNN,recall,0.851,0.725,0.068
macro,WOA,KNN,f1-score,0.88,0.741,0.069
macro,WOA,LightGBM,presicion,0.999,0.991,0.008
macro,WOA,LightGBM,recall,0.984,0.971,0.008
macro,WOA,LightGBM,f1-score,0.987,0.981,0.006
macro,WOA,RandomForest,presicion,0.982,0.939,0.024
macro,WOA,RandomForest,recall,0.954,0.847,0.055
macro,WOA,RandomForest,f1-score,0.958,0.884,0.032
weighted,GWO,KNN,presicion,0.993,0.986,0.012
weighted,GWO,KNN,recall,0.993,0.986,0.011
weighted,GWO,KNN,f1-score,0.993,0.986,0.011
weighted,GWO,LightGBM,presicion,0.997,0.995,0.001
weighted,GWO,LightGBM,recall,0.997,0.995,0.001
weighted,GWO,LightGBM,f1-score,0.997,0.995,0.001
weighted,GWO,RandomForest,presicion,0.998,0.994,0.002
weighted,GWO,RandomForest,recall,0.998,0.994,0.002
weighted,GWO,RandomForest,f1-score,0.998,0.994,0.002
weighted,PSO,KNN,presicion,0.973,0.95,0.007
weighted,PSO,KNN,recall,0.974,0.954,0.006
weighted,PSO,KNN,f1-score,0.973,0.951,0.007
weighted,PSO,LightGBM,presicion,0.997,0.995,0.001
weighted,PSO,LightGBM,recall,0.997,0.995,0.001
weighted,PSO,LightGBM,f1-score,0.997,0.995,0.001
weighted,PSO,RandomForest,presicion,0.994,0.988,0.006
weighted,PSO,RandomForest,recall,0.994,0.988,0.006
weighted,PSO,RandomForest,f1-score,0.994,0.988,0.007
weighted,WOA,KNN,presicion,0.975,0.946,0.015
weighted,WOA,KNN,recall,0.976,0.949,0.015
weighted,WOA,KNN,f1-score,0.975,0.946,0.013
weighted,WOA,LightGBM,presicion,0.997,0.996,0.001
weighted,WOA,LightGBM,recall,0.997,0.996,0.001
weighted,WOA,LightGBM,f1-score,0.997,0.996,0.001
weighted,WOA,RandomForest,presicion,0.991,0.977,0.006
weighted,WOA,RandomForest,recall,0.991,0.978,0.005
weighted,WOA,RandomForest,f1-score,0.991,0.976,0.006
