mh,clasificador,metric,value
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.956043956043956
GWO,KNN,recall,0.8446601941747572
GWO,KNN,f1-score,0.8969072164948454
GWO,KNN,presicion,0.5949367088607594
GWO,KNN,recall,0.4563106796116505
GWO,KNN,f1-score,0.5164835164835165
GWO,KNN,presicion,0.989010989010989
GWO,KNN,recall,0.8737864077669902
GWO,KNN,f1-score,0.9278350515463918
GWO,KNN,presicion,0.822429906542056
GWO,KNN,recall,0.8543689320388349
GWO,KNN,f1-score,0.8380952380952381
GWO,KNN,presicion,0.6888888888888889
GWO,KNN,recall,0.6019417475728155
GWO,KNN,f1-score,0.6424870466321243
GWO,KNN,presicion,0.968421052631579
GWO,KNN,recall,0.8932038834951457
GWO,KNN,f1-score,0.9292929292929292
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.9387755102040816
GWO,KNN,recall,0.8932038834951457
GWO,KNN,f1-score,0.9154228855721394
GWO,KNN,presicion,0.967741935483871
GWO,KNN,recall,0.8737864077669902
GWO,KNN,f1-score,0.9183673469387756
GWO,KNN,presicion,0.8037383177570093
GWO,KNN,recall,0.8349514563106796
GWO,KNN,f1-score,0.819047619047619
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.8804347826086957
GWO,KNN,recall,0.7864077669902912
GWO,KNN,f1-score,0.8307692307692308
GWO,KNN,presicion,0.9473684210526316
GWO,KNN,recall,0.8737864077669902
GWO,KNN,f1-score,0.9090909090909092
GWO,KNN,presicion,0.9680851063829788
GWO,KNN,recall,0.883495145631068
GWO,KNN,f1-score,0.9238578680203046
GWO,KNN,presicion,0.9565217391304348
GWO,KNN,recall,0.8543689320388349
GWO,KNN,f1-score,0.9025641025641026
GWO,KNN,presicion,0.9583333333333334
GWO,KNN,recall,0.8932038834951457
GWO,KNN,f1-score,0.9246231155778896
GWO,KNN,presicion,0.9891304347826086
GWO,KNN,recall,0.883495145631068
GWO,KNN,f1-score,0.9333333333333332
GWO,KNN,presicion,0.8108108108108109
GWO,KNN,recall,0.8737864077669902
GWO,KNN,f1-score,0.8411214953271028
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.8363636363636363
GWO,KNN,recall,0.8932038834951457
GWO,KNN,f1-score,0.863849765258216
GWO,KNN,presicion,0.8018018018018018
GWO,KNN,recall,0.8640776699029126
GWO,KNN,f1-score,0.8317757009345794
GWO,KNN,presicion,0.968421052631579
GWO,KNN,recall,0.8932038834951457
GWO,KNN,f1-score,0.9292929292929292
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.93
GWO,KNN,recall,0.9029126213592232
GWO,KNN,f1-score,0.916256157635468
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,KNN,presicion,0.6555555555555556
GWO,KNN,recall,0.5728155339805825
GWO,KNN,f1-score,0.6113989637305699
GWO,KNN,presicion,0.9565217391304348
GWO,KNN,recall,0.8543689320388349
GWO,KNN,f1-score,0.9025641025641026
GWO,KNN,presicion,0.8380952380952381
GWO,KNN,recall,0.8543689320388349
GWO,KNN,f1-score,0.8461538461538461
GWO,KNN,presicion,0.9690721649484536
GWO,KNN,recall,0.912621359223301
GWO,KNN,f1-score,0.94
GWO,LightGBM,presicion,0.9411764705882352
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9365853658536586
GWO,LightGBM,presicion,0.97
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.955665024630542
GWO,LightGBM,presicion,0.9509803921568628
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.946341463414634
GWO,LightGBM,presicion,0.979381443298969
GWO,LightGBM,recall,0.9223300970873788
GWO,LightGBM,f1-score,0.95
GWO,LightGBM,presicion,0.97
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.955665024630542
GWO,LightGBM,presicion,0.9591836734693876
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9353233830845772
GWO,LightGBM,presicion,0.979591836734694
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9552238805970148
GWO,LightGBM,presicion,0.979591836734694
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9552238805970148
GWO,LightGBM,presicion,0.979381443298969
GWO,LightGBM,recall,0.9223300970873788
GWO,LightGBM,f1-score,0.95
GWO,LightGBM,presicion,0.9509803921568628
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.946341463414634
GWO,LightGBM,presicion,0.9603960396039604
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.9509803921568628
GWO,LightGBM,presicion,0.99
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9753694581280788
GWO,LightGBM,presicion,0.979381443298969
GWO,LightGBM,recall,0.9223300970873788
GWO,LightGBM,f1-score,0.95
GWO,LightGBM,presicion,0.9896907216494846
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.96
GWO,LightGBM,presicion,0.9797979797979798
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.9603960396039604
GWO,LightGBM,presicion,0.9894736842105264
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9494949494949496
GWO,LightGBM,presicion,0.9696969696969696
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9504950495049505
GWO,LightGBM,presicion,0.9702970297029704
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9607843137254902
GWO,LightGBM,presicion,0.9791666666666666
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9447236180904522
GWO,LightGBM,presicion,0.9897959183673468
GWO,LightGBM,recall,0.941747572815534
GWO,LightGBM,f1-score,0.965174129353234
GWO,LightGBM,presicion,0.9696969696969696
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.9504950495049505
GWO,LightGBM,presicion,0.9607843137254902
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9560975609756096
GWO,LightGBM,presicion,0.95
GWO,LightGBM,recall,0.9223300970873788
GWO,LightGBM,f1-score,0.9359605911330048
GWO,LightGBM,presicion,0.9894736842105264
GWO,LightGBM,recall,0.912621359223301
GWO,LightGBM,f1-score,0.9494949494949496
GWO,LightGBM,presicion,0.9611650485436892
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9611650485436892
GWO,LightGBM,presicion,0.9702970297029704
GWO,LightGBM,recall,0.9514563106796116
GWO,LightGBM,f1-score,0.9607843137254902
GWO,LightGBM,presicion,0.9705882352941176
GWO,LightGBM,recall,0.9611650485436892
GWO,LightGBM,f1-score,0.9658536585365852
GWO,LightGBM,presicion,0.9896907216494846
GWO,LightGBM,recall,0.9320388349514565
GWO,LightGBM,f1-score,0.96
