mh,clasificador,metric,value
GWO,KNN,presicion,0.981878078930222
GWO,KNN,recall,0.955421527270216
GWO,KNN,f1-score,0.968224852071006
GWO,KNN,presicion,0.9733133258736556
GWO,KNN,recall,0.9211445606321328
GWO,KNN,f1-score,0.9455002709763064
GWO,KNN,presicion,0.7811036554239508
GWO,KNN,recall,0.7186710481638572
GWO,KNN,f1-score,0.7452929648338713
GWO,KNN,presicion,0.9906797146349824
GWO,KNN,recall,0.9365968197696836
GWO,KNN,f1-score,0.9618501896834144
GWO,KNN,presicion,0.9067586252852884
GWO,KNN,recall,0.921553167856999
GWO,KNN,f1-score,0.9140031086618624
GWO,KNN,presicion,0.8323856209150327
GWO,KNN,recall,0.7926721185996857
GWO,KNN,f1-score,0.8110575180016246
GWO,KNN,presicion,0.9809656885576774
GWO,KNN,recall,0.9457127894061385
GWO,KNN,f1-score,0.9625766834519052
GWO,KNN,presicion,0.981878078930222
GWO,KNN,recall,0.955421527270216
GWO,KNN,f1-score,0.968224852071006
GWO,KNN,presicion,0.981878078930222
GWO,KNN,recall,0.955421527270216
GWO,KNN,f1-score,0.968224852071006
GWO,KNN,presicion,0.9661371640854924
GWO,KNN,recall,0.9448236370647038
GWO,KNN,f1-score,0.9551959056449036
GWO,KNN,presicion,0.9800406789970916
GWO,KNN,recall,0.9360040515420608
GWO,KNN,f1-score,0.9568196072755344
GWO,KNN,presicion,0.8968186538279996
GWO,KNN,recall,0.9112516617652984
GWO,KNN,f1-score,0.9038858273279636
GWO,KNN,presicion,0.981878078930222
GWO,KNN,recall,0.955421527270216
GWO,KNN,f1-score,0.968224852071006
GWO,KNN,presicion,0.9337391816459262
GWO,KNN,recall,0.8899436582432192
GWO,KNN,f1-score,0.9105101692989434
GWO,KNN,presicion,0.9698494022667288
GWO,KNN,recall,0.9354112833144376
GWO,KNN,f1-score,0.9518843072953068
GWO,KNN,presicion,0.9805048173424328
GWO,KNN,recall,0.9408584204740996
GWO,KNN,f1-score,0.9597119668212668
GWO,KNN,presicion,0.9738439084344754
GWO,KNN,recall,0.9259989295641716
GWO,KNN,f1-score,0.9484755520206036
GWO,KNN,presicion,0.9759199134199136
GWO,KNN,recall,0.9454164052923268
GWO,KNN,f1-score,0.9600932791731506
GWO,KNN,presicion,0.9910316484867108
