mh,clasificador,metric,value
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9885952710190432
GWO,KNN,recall,0.988826815642458
GWO,KNN,f1-score,0.9885010521487276
GWO,KNN,presicion,0.9458458025502609
GWO,KNN,recall,0.9508379888268156
GWO,KNN,f1-score,0.9477701526478164
GWO,KNN,presicion,0.992156396974874
GWO,KNN,recall,0.9921787709497206
GWO,KNN,f1-score,0.9919507365041096
GWO,KNN,presicion,0.98138247472064
GWO,KNN,recall,0.9810055865921788
GWO,KNN,f1-score,0.9811752131185848
GWO,KNN,presicion,0.9593682038923576
GWO,KNN,recall,0.9614525139664803
GWO,KNN,f1-score,0.9602282591464788
GWO,KNN,presicion,0.9920666401258004
GWO,KNN,recall,0.9921787709497206
GWO,KNN,f1-score,0.992030016741189
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9903499348945174
GWO,KNN,recall,0.9905027932960894
GWO,KNN,f1-score,0.990391695474657
GWO,KNN,presicion,0.9909240363853272
GWO,KNN,recall,0.9910614525139664
GWO,KNN,f1-score,0.9908466354171132
GWO,KNN,presicion,0.9791869512226636
GWO,KNN,recall,0.9787709497206704
GWO,KNN,f1-score,0.9789605323090064
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9809091079447938
GWO,KNN,recall,0.981564245810056
GWO,KNN,f1-score,0.9810742176961862
GWO,KNN,presicion,0.9897431867600974
GWO,KNN,recall,0.9899441340782122
GWO,KNN,f1-score,0.989752878667243
GWO,KNN,presicion,0.991495220783648
GWO,KNN,recall,0.9916201117318436
GWO,KNN,f1-score,0.9914398397266992
GWO,KNN,presicion,0.989172576690118
GWO,KNN,recall,0.9893854748603352
GWO,KNN,f1-score,0.9891033374614406
GWO,KNN,presicion,0.9914825630607754
GWO,KNN,recall,0.9916201117318436
GWO,KNN,f1-score,0.9914814015948789
GWO,KNN,presicion,0.9927140632952568
GWO,KNN,recall,0.9927374301675976
GWO,KNN,f1-score,0.9925443887894068
GWO,KNN,presicion,0.9818165206042402
GWO,KNN,recall,0.9810055865921788
GWO,KNN,f1-score,0.9813380502671998
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.984413196207889
GWO,KNN,recall,0.9837988826815642
GWO,KNN,f1-score,0.9840482571460618
GWO,KNN,presicion,0.9807368040294664
GWO,KNN,recall,0.9798882681564246
GWO,KNN,f1-score,0.9802402885182114
GWO,KNN,presicion,0.9920666401258004
GWO,KNN,recall,0.9921787709497206
GWO,KNN,f1-score,0.992030016741189
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9903953918878714
GWO,KNN,recall,0.9905027932960894
GWO,KNN,f1-score,0.99043683537279
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,KNN,presicion,0.9557869792237192
GWO,KNN,recall,0.9581005586592178
GWO,KNN,f1-score,0.956769846898346
GWO,KNN,presicion,0.989172576690118
GWO,KNN,recall,0.9893854748603352
GWO,KNN,f1-score,0.9891033374614406
GWO,KNN,presicion,0.982293857748328
GWO,KNN,recall,0.982122905027933
GWO,KNN,f1-score,0.9822035509703256
GWO,KNN,presicion,0.9932102396828036
GWO,KNN,recall,0.9932960893854748
GWO,KNN,f1-score,0.9932014809427788
GWO,LightGBM,presicion,0.99270688457543
GWO,LightGBM,recall,0.9927374301675976
GWO,LightGBM,f1-score,0.992720792518912
GWO,LightGBM,presicion,0.9949277379260192
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.994937148138536
GWO,LightGBM,presicion,0.9938293491030876
GWO,LightGBM,recall,0.993854748603352
GWO,LightGBM,f1-score,0.9938406705929256
GWO,LightGBM,presicion,0.994360134467931
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943345674523156
GWO,LightGBM,presicion,0.9949277379260192
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.994937148138536
GWO,LightGBM,presicion,0.992638276040239
GWO,LightGBM,recall,0.9927374301675976
GWO,LightGBM,f1-score,0.992652473010032
GWO,LightGBM,presicion,0.9949266171859608
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.9949132505454068
GWO,LightGBM,presicion,0.9949266171859608
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.9949132505454068
GWO,LightGBM,presicion,0.994360134467931
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943345674523156
GWO,LightGBM,presicion,0.9938293491030876
GWO,LightGBM,recall,0.993854748603352
GWO,LightGBM,f1-score,0.9938406705929256
GWO,LightGBM,presicion,0.9943731267457792
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943876773617124
GWO,LightGBM,presicion,0.9971939109450928
GWO,LightGBM,recall,0.9972067039106144
GWO,LightGBM,f1-score,0.9971873045214088
GWO,LightGBM,presicion,0.994360134467931
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943345674523156
GWO,LightGBM,presicion,0.9955100292530584
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9954676539618524
GWO,LightGBM,presicion,0.9954935110081152
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9954891221283236
GWO,LightGBM,presicion,0.9943900934915032
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.994307154815135
GWO,LightGBM,presicion,0.9943549419711422
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943614026604046
GWO,LightGBM,presicion,0.9955008462136984
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9955101418893698
GWO,LightGBM,presicion,0.9937940540498946
GWO,LightGBM,recall,0.993854748603352
GWO,LightGBM,f1-score,0.9937530278362444
GWO,LightGBM,presicion,0.9960707877588216
GWO,LightGBM,recall,0.9960893854748604
GWO,LightGBM,f1-score,0.9960436393130944
GWO,LightGBM,presicion,0.9943549419711422
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.9943614026604046
GWO,LightGBM,presicion,0.994951813630745
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.9949605486669392
GWO,LightGBM,presicion,0.9926615649069452
GWO,LightGBM,recall,0.9927374301675976
GWO,LightGBM,f1-score,0.9926869917556628
GWO,LightGBM,presicion,0.9943900934915032
GWO,LightGBM,recall,0.994413407821229
GWO,LightGBM,f1-score,0.994307154815135
GWO,LightGBM,presicion,0.9955307262569832
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9955307262569832
GWO,LightGBM,presicion,0.9955008462136984
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9955101418893698
GWO,LightGBM,presicion,0.9960742781584024
GWO,LightGBM,recall,0.9960893854748604
GWO,LightGBM,f1-score,0.9960804267409528
GWO,LightGBM,presicion,0.9955100292530584
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9954676539618524
GWO,LightGBM,presicion,0.9955100292530584
GWO,LightGBM,recall,0.9955307262569832
GWO,LightGBM,f1-score,0.9954676539618524
GWO,LightGBM,presicion,0.9966285656816174
GWO,LightGBM,recall,0.9966480446927374
GWO,LightGBM,f1-score,0.9966326064170272
GWO,LightGBM,presicion,0.9949976002479533
GWO,LightGBM,recall,0.994972067039106
GWO,LightGBM,f1-score,0.9949834664840836
GWO,RandomForest,presicion,0.9932454072778604
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932652128340548
GWO,RandomForest,presicion,0.9937824466130998
GWO,RandomForest,recall,0.993854748603352
GWO,RandomForest,f1-score,0.9937828617777192
GWO,RandomForest,presicion,0.9938853221835984
GWO,RandomForest,recall,0.993854748603352
GWO,RandomForest,f1-score,0.9938686812583244
GWO,RandomForest,presicion,0.9943731267457792
GWO,RandomForest,recall,0.994413407821229
GWO,RandomForest,f1-score,0.9943876773617124
GWO,RandomForest,presicion,0.9932960893854748
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932960893854748
GWO,RandomForest,presicion,0.9943549419711422
GWO,RandomForest,recall,0.994413407821229
GWO,RandomForest,f1-score,0.9943614026604046
GWO,RandomForest,presicion,0.9938293491030876
GWO,RandomForest,recall,0.993854748603352
GWO,RandomForest,f1-score,0.9938406705929256
GWO,RandomForest,presicion,0.9904542532024304
GWO,RandomForest,recall,0.9899441340782122
GWO,RandomForest,f1-score,0.9901201442591058
GWO,RandomForest,presicion,0.9921176878099413
GWO,RandomForest,recall,0.9921787709497206
GWO,RandomForest,f1-score,0.9921427483063971
GWO,RandomForest,presicion,0.9932454072778604
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932652128340548
GWO,RandomForest,presicion,0.9932960893854748
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932960893854748
GWO,RandomForest,presicion,0.9949497995444542
GWO,RandomForest,recall,0.994972067039106
GWO,RandomForest,f1-score,0.9948888409569272
GWO,RandomForest,presicion,0.9960742781584024
GWO,RandomForest,recall,0.9960893854748604
GWO,RandomForest,f1-score,0.9960804267409528
GWO,RandomForest,presicion,0.9915844200477724
GWO,RandomForest,recall,0.9916201117318436
GWO,RandomForest,f1-score,0.9916009144448986
GWO,RandomForest,presicion,0.9932454072778604
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932652128340548
GWO,RandomForest,presicion,0.9915284783974084
GWO,RandomForest,recall,0.9916201117318436
GWO,RandomForest,f1-score,0.9915619135642264
GWO,RandomForest,presicion,0.9932102396828036
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932014809427788
GWO,RandomForest,presicion,0.9932454072778604
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.9932652128340548
GWO,RandomForest,presicion,0.9914825630607754
GWO,RandomForest,recall,0.9916201117318436
GWO,RandomForest,f1-score,0.9914814015948789
GWO,RandomForest,presicion,0.9900452405818516
GWO,RandomForest,recall,0.9899441340782122
GWO,RandomForest,f1-score,0.989989497420808
GWO,RandomForest,presicion,0.9943731267457792
GWO,RandomForest,recall,0.994413407821229
GWO,RandomForest,f1-score,0.9943876773617124
GWO,RandomForest,presicion,0.9966892830105868
GWO,RandomForest,recall,0.9966480446927374
GWO,RandomForest,f1-score,0.996663165806936
GWO,RandomForest,presicion,0.993794651416482
GWO,RandomForest,recall,0.993854748603352
GWO,RandomForest,f1-score,0.9938120699470994
GWO,RandomForest,presicion,0.998334434441017
GWO,RandomForest,recall,0.9983240223463687
GWO,RandomForest,f1-score,0.9983278221613612
GWO,RandomForest,presicion,0.9938309057859692
GWO,RandomForest,recall,0.993854748603352
GWO,RandomForest,f1-score,0.9937225491329128
GWO,RandomForest,presicion,0.9927730441192438
GWO,RandomForest,recall,0.9927374301675976
GWO,RandomForest,f1-score,0.9927538960325653
GWO,RandomForest,presicion,0.9956533774574876
GWO,RandomForest,recall,0.9955307262569832
GWO,RandomForest,f1-score,0.9955706383808436
GWO,RandomForest,presicion,0.9943900934915032
GWO,RandomForest,recall,0.994413407821229
GWO,RandomForest,f1-score,0.994307154815135
GWO,RandomForest,presicion,0.9932283668086516
GWO,RandomForest,recall,0.9932960893854748
GWO,RandomForest,f1-score,0.993168585778162
GWO,RandomForest,presicion,0.992638276040239
GWO,RandomForest,recall,0.9927374301675976
GWO,RandomForest,f1-score,0.992652473010032
GWO,RandomForest,presicion,0.9927140632952568
GWO,RandomForest,recall,0.9927374301675976
GWO,RandomForest,f1-score,0.9925443887894068
PSO,KNN,presicion,0.9486245298864424
PSO,KNN,recall,0.9513966480446928
PSO,KNN,f1-score,0.9498530224020816
PSO,KNN,presicion,0.9474881482312838
PSO,KNN,recall,0.9519553072625698
PSO,KNN,f1-score,0.949238691993009
PSO,KNN,presicion,0.9541159025441166
PSO,KNN,recall,0.958659217877095
PSO,KNN,f1-score,0.9553180272484376
PSO,KNN,presicion,0.9494693749319384
PSO,KNN,recall,0.953072625698324
PSO,KNN,f1-score,0.9509506149512548
PSO,KNN,presicion,0.9465991490495964
PSO,KNN,recall,0.9502793296089386
PSO,KNN,f1-score,0.9481678463861009
PSO,KNN,presicion,0.9622795716228688
PSO,KNN,recall,0.964804469273743
PSO,KNN,f1-score,0.9631150043651318
PSO,KNN,presicion,0.95237989201064
PSO,KNN,recall,0.9558659217877096
PSO,KNN,f1-score,0.9537473864261176
PSO,KNN,presicion,0.9441294227188082
PSO,KNN,recall,0.9491620111731844
PSO,KNN,f1-score,0.9461393780478006
PSO,KNN,presicion,0.9528414272695932
PSO,KNN,recall,0.9564245810055866
PSO,KNN,f1-score,0.9542102061103876
PSO,KNN,presicion,0.9339690788618942
PSO,KNN,recall,0.9424581005586592
PSO,KNN,f1-score,0.937248674036098
PSO,KNN,presicion,0.9573297318167544
PSO,KNN,recall,0.9603351955307262
PSO,KNN,f1-score,0.9584311953956248
PSO,KNN,presicion,0.9603975071255856
PSO,KNN,recall,0.9620111731843576
PSO,KNN,f1-score,0.9610982005227308
PSO,KNN,presicion,0.9515806636048616
PSO,KNN,recall,0.9569832402234636
PSO,KNN,f1-score,0.9528017655018592
PSO,KNN,presicion,0.951012012998868
PSO,KNN,recall,0.9536312849162012
PSO,KNN,f1-score,0.952158630567503
PSO,KNN,presicion,0.948356905477838
PSO,KNN,recall,0.9547486033519552
PSO,KNN,f1-score,0.9497232991634416
PSO,KNN,presicion,0.9425529656531346
PSO,KNN,recall,0.9463687150837988
PSO,KNN,f1-score,0.9442371192231332
PSO,KNN,presicion,0.9399169798074488
PSO,KNN,recall,0.9452513966480448
